,text,category,comment_length,uppercase_amount,predicted_category
705,"Central banks are hiding the truth about what is driving inflation and how bad it is going to get . They want you to believe that what is happening is a result of government stimulus in response to the pandemic . Total nonsense . Look up quantitative easing . Look up the Fed balance sheet . That 8.9 trillion dollars worth of assets that they purchased to prop up the economy in the years following the 2008 crisis dwarfs the stimulus . Every dollar that sits on central bank balance sheets is money that was created out of thin air and injected into the system . This is what created the inflation we are seeing now . Raising interest rates ca n't bring it down . That would only work if the inflation was caused by excessive lending , but it was n't , and they know that it was n't . The only way to prevent Venezuela style hyperinflation at this point would be to remove 8.9 trillion dollars from the U.S. economy and approximately the same amount from the EU economy . This would obviously have catastrophic consequences and draw attention to their insane monetary experiment , so instead they are playing dumb . They acknowledge that raising interest rates will likely cause a deep recession , but what no one seems to be talking about is what happens to interest payments on government debt as these rates climb . With the U.S. national debt sitting at 30 trillion , the prospect of a full fledged default is n't just likely , it 's inevitable . When the U.S. government defaults , the global financial system will grind to a halt ( as will international supply chains ) . Most people ca n't even imagine the implications . This can not be fixed . That 's why they cooked up the "" Great Reset "" . Do n't let them get away with it . @ kaufm Discussion : @ patric ",CRITICAL,long,low,CONSPIRACY
3960,"Resist the Mainstream can use your help ! Unlike most countries , the U.S. still has a complete ban on visitors who have n’t been fully vaccinated . Do you know of anyone who ca n’t come to America because of the vax rule , either for business or family reasons ? If so , we ’d like to interview them , so let us know at contact @ resistthemainstream . com ",CRITICAL,average,low,CONSPIRACY
2621,"The British Government expect you to believe that people sending insulting tweets to Diane Abbott is related to a Tory MP ( who happened to be anti - vaccine mandate and ID 's ) being knifed to death by a Somali . And their solution to this is to entirely ban internet anonymity . So how are we to verify ourselves to get back on the internet ? Well , whadya know , it just so happens the Technocrats want us all on a digital ID system where all your details are stored on a smart device , the same ones that allow vaccinated people to go on holiday and get in nightclubs . ",CRITICAL,long,low,CONSPIRACY
1566,TexasVet 's Pro - White Podcast Episode 45 - Bubba Kate Bubba Kate from England is taking on the anti - White agenda behemoth where it really counts . In the courts ! t . me / fourteenwords ,CONSPIRACY,average,neutral,CRITICAL
2389,"Bill Gates : "" Sadly the virus itself particularly the variant called Omicron is a type of vaccine , that is it creates both B cell and T cell immunity , and it 's done a better job of getting out to the world population than we have with vaccines . "" @ ericmartinez ",CRITICAL,average,low,CONSPIRACY
2973,"# AlexJonesShow LIVE : France Says COVID Vaccine Does Not Work , Collapsing Hoax ! - https :// ifw . io / yls   Subscribe To Live Broadcast Alerts ! - Text : ' SHOW ' To : ( 833 ) 470 - 0222   Turn Back The Globalist Storm Sale : https :// www . infowarsstore . com / specials - clearance / turn - back - the - globalist - storm ",CRITICAL,average,high,CONSPIRACY
934,"Deep state called out . The entire Dutch government left the chamber and halted debate when MP Thierry Baudet mentioned that the Finance Minister studied at a ' spy college ' in Oxford . Their over - reaction speaks volumes . ' The lady doth protest too much , methinks . ' Watch the bizarre moment when the government walks out as Thierry Baudet is speaking . Apparently his speech hit a nerve . ( English Subs ) Twitter source - https :// twitter . com / FVD _ Intl / status / 1572855465272279042 ? s = 20 ",CONSPIRACY,average,neutral,CRITICAL
3313,"Denmark ’s Director of the National Board of Health , Søren Brostrøm : ‘ ’ IT WAS A MISTAKE TO VACCINATE CHILDREN ’’ From mid - July last year , 12 - 15 - year - old children in Denmark were injected with COVID experimental vaccines . In November , the 5 - 11 - year - olds were also recommended to be lined up and injected . But now the director of the National Board of Health , Søren Brostrøm , has admitted it WAS A MISTAKE TO VACCINATE CHILDREN . ‘ ’ Mistake ’’ - What BS . The injection of children with experimental agents was not a ‘ ’ mistake ’’ - it was an abandonment of centuries of learning ” the precautionary principle ’’ and a crime against humanity - pushed by a insane cult and the criminal COVID cartel . The health and fertility issues these children will face breaks my heart .   https :// t . me / LauraAbolichannel ",CONSPIRACY,long,high,CRITICAL
3432,"~ The Kingdom of Canada ~ I AM Queen Romana of the Kingdom of Canada , this Order is for our Duck Hunters , RCMP , Police , Military and Special Ops , and Camouflaged Duck Hunters . 1 ) Search , confiscate , and destroy safely any and all Coronovirus19 vaccines / bioweapon from : Clinics , ( private or public ) , all Pharmacies , Hospitals , Government Facilities , etc , etc . 2 ) Arrest Pharmacists , Hospital Staff , Clinic Staff , School Staff , Doctors Nurses Politicians Bureaucrats Medical Health Officers Judges Lawyers Religious Leaders Social Workers Indigenous Chiefs who have allowed the injections of coronavirus into the indigenous children . Journalists Arrest any Police / RCMP / Military / Sheriffs , and everyone and anyone assisting in the injecting of coronavirus bioweapon into Canadian Children , under the age of 19 years old , men , and women of all ages . The Kingdom of Canada is a # VaccineFreeNation This order is effective immediately .   Q   Q   Q   Peace and Prosperity . Or perish . I do n't play Politics . HRH Majesty Queen Romana Didulo , Head of State and Commander - in - Chief , Head of Government of Canada , President and Queen of Canada # WWG1WGA      https :// t . me / romanadidulo ",CONSPIRACY,long,neutral,CRITICAL
3667,"I do n’t need the Gates vaccine . I ’ve got Tough Mother . This stuff is amazing . It is hot . I mean eye - watering , profanity - inducing , soul - clearing hot . ",CRITICAL,short,neutral,CONSPIRACY
2235,"Still ca n't believe this is reality . It 's completely mind blowing at this point . STAY AWAY FROM THE VACCINE . We can not lay any more emphasis on this . I am pretty sure most of you have seen already how dangerous the vaccine is . If you need the vaccine certificates , vaccine cards or vaccine passport message us and we will get you an authentic , valid and registered vaccine certificate with QR Scan Code activated , which you can use wherever and however you want as it proofs you have already been vaccinated . This is our own way of saving as many people as we possibly can from the poisonous vaccine . Directly Message us @ opatters @ whitewanda Live and let live , Serve , so as to be served , Let love   lead Enjoy your stay here everyone ",CRITICAL,long,neutral,CONSPIRACY
22,""" Federal Health Minister Karl Lauterbach reveals a new update for the ' Corona warning app ' . Different colors give different rights in the future . This system already exists in China . ' Lauterbach sticks to his plan , defends the new Infection Protection Act and affirms : “ If vaccines that protect against infection are available in the fall , they should also be beneficial for those who have been vaccinated . You can not do without a mask in the interior in the fall . An exception would be justifiable for those who have just been vaccinated . ” However , if too many people make use of this exception , "" "" we would change the rule and close the exception , "" "" Lauterbach announced . A "" "" general mask requirement in the interior or test would then be a consequence "" "" The Minister of Health had previously said about the mask exemption for newly vaccinated people : "" "" That will certainly be an incentive for one or the other to think about whether they would like to be vaccinated . "" "" China was ALWAYS the model for the NWO . ARTICLE "" ",CONSPIRACY,long,low,CRITICAL
442,"We have to stop pretending like people who prove themselves to be disloyal and principally compromised are somehow our Allies when they are just out for themselves . MTG is no longer an ally to America First . She may have claimed to be so that she could climb the political ladder , but she has shown she is all talk and zero action , unless of course the action is selling t shirts and wine glasses . This is a woman who claims to be anti vaccine and yet she ’s invested in 3 of the major vaccine producers . This is a woman who said she is against money being sent to Ukraine and then she invested in defense stocks immediately after her defense briefing . This is a woman who campaigned against the establishment and now she ’s advocating for them to be Speaker in exchange for benefits to herself . She claims to be against corruption , but she ’s one of the most prolific stock traders in congress . And it ’s interesting how her investments always seem to follow congressional briefings . I.e the vaccines , and the war in Ukraine . This is a woman who said she would help J6 prisoners , but all she did was take a selfie outside of the DC jail and fundraise off of it for herself . This is a woman who claims to have a PAC that supports America First candidates but now she ’s supporting McCarthy for Speaker even after it was revealed that he used FTX money to launch attacks against the same America First candidates she once claimed to support . This is a woman who pretended to not know what AFPAC was , used AFPAC to get publicity , and then basically disavowed AFPAC and Nick Fuentes by saying “ she does n’t know who he is ” . Why would you say you do n’t know who someone is after using them to get publicity ? Now she wants to support McCarthy for Speaker after he called all AFPAC attendees “ white supremacists who have no place in the Republican Party . ” A lot of people will learn the hard way through disappointment if they keep justifying her betrayal and her opportunism for their misguided hopes that she will someday be an ally . MTG will use anyone to get power and she has shown that she does n’t even believe in the things she says . It ’s why I was once her biggest supporter , and now I am no longer a supporter . https :// www . businessinsider . com / marjorie - taylor - greene - boasts - unvaccinated - owns - pfizer - jj - astrazeneca - stock - 2021 - 12 ? amp ",CRITICAL,long,low,CONSPIRACY
1169,"Two years of conditioning to unconditional loyalty ( “ solidarity ” ) and hatred of those who think differently have paid off for politics . After the unvaccinated and critics of the measures , "" The Russian "" has become the target of hate speech , racism , discrimination and attacks as if at the push of a button . Russian artists are losing their engagements , Russian students are being bullied , Russian citizens are not welcome as guests , Russian products are being removed from supermarkets and Russian shops are being attacked . This must stop immediately , just like the war . ",CRITICAL,long,low,CONSPIRACY
3459,"CEO of Blackrock , Larry Fink ca n’t seem to keep his story straight … So , first it was … “Ukraine / Russia war put an end to globalization . ” Now , it’s … “Ukraine / Russia war to trigger New World Order . ” WTF is going on ? ? ? https :// insiderpaper . com / russia - ukraine - war - to - trigger - new - world - order - blackrock - ceo / ",CRITICAL,average,neutral,CONSPIRACY
3239,Some people have stronger resistance to heroin . That does n't mean that their taking heroin makes them healthier somehow . The COVID vaccine only just got human trials approved FUCKING YESTERDAY . You may as well be going to your local doctor and telling him to shoot you with a high caliber bullet in the leg . At least they 'll be able to accurately address the wounding . ,CRITICAL,average,neutral,CONSPIRACY
1967,"Did you catch that ? ? ? “ COVID has been one of the MOST profitable products ever . ” says the Executive Director of Oxfam International at WEF Davos … COVID is the PRODUCT , and YOU are the consumer . That is how these Big Pharma psychopaths think . # ThesePeopleAreSick ",CRITICAL,average,high,CONSPIRACY
561,"During the peak panic of the pandemic , the nation was terrified , the government was lying , and the media was spreading those lies exactly as ordered . We have been positioned for such a time as this , and we can never let what happened happen again . ",CRITICAL,average,low,CONSPIRACY
2914,The World Health Organisation can go to hell . Mark Dolan rips into Bill Gates and the World Health Organisation pandemic treaty live on GB news ,CRITICAL,short,neutral,CONSPIRACY
2091,"Why is "" compulsory vaccination "" even a thing , anywhere still ? It 's against the human rights of a person that disregards their natural right for body autonomy and no different than assault and this case , with a deadIy bio weapon . Also babies and children can not give informed consent and all childhood vaccines are also human rights violations . That said , most people are coaxed by falsified information about the real dangers about any of the injections they call vaccines , into "" informed consent "" . They are told it 's safe when those of us injured from them as well as those of us who have studied in depth what the dangerous substances do to our bodies know better and most people have no idea about the dangers . Australia drops compulsory Covid injections until August 31 , 2022 https :// expose - news . com / 2022 / 06 / 28 / covid - news - from - around - the - world / Join us at : t . me / AgentsOfTruth t . me / AgentsOfTruthChat ",CRITICAL,long,low,CONSPIRACY
2646,"DEPOPULATION . WHO IS DOING IT ? Nurses .   In the five countries with the highest COVID jab uptake , fertility has dropped by an average of 15.2 % , whereas the five countries with the lowest COVID jab uptake have seen an average reduction of just 4 . 66 % . https :// articles . mercola . com / sites / articles / archive / 2022 / 07 / 25 / covid - vaccine - fertility - issues . aspx ? ui = ba70d775f4462ba483fdabe09000dcb7f8c13c7f5fa327188e89ef84ffc16a99 & sd = 20220531 & cid _ source = dnl & cid _ medium = email & cid _ content = art1HL & cid = 20220725 & mid = DM1222318 & rid = 1557877328 ",CONSPIRACY,long,neutral,CRITICAL
986,Seth Rogen Calls Out Emmys over COVID Protocols : ' Way Too Many of Us ' in ' This Hermetically Sealed Tent'_david ,CRITICAL,short,high,CONSPIRACY
38,# AlexJonesShow : It ’s Official ! mRNA Covid Vaccines Are Euthanizing Thousands of Old People Worldwide ! - https :// ifw . io / hw8   Get Live Broadcast Alerts ! - Text : ' SHOW ' To : ( 833 ) 470 - 0222 $ 50 Off Alexapure Pro Water Filtration System : https :// www . infowarsstore . com / alexapure - pro - water - filtration - system ,CONSPIRACY,average,high,CRITICAL
3596,"The new Tory threat to # Brexit , the sheer scale of the Johnson regime 's sleaze , # vaccines and the grim record of # bigpharma . And some stunning new research on # CovidHoax death rates . All rounded off with a burst of classic old time Christian preaching . Have a look and thanks for all shares ! https :// www . purged . tv / l / 1866416709 / Nick - Griffin --- Templar - Report - Live --- November - 18 - 2020 ",CRITICAL,average,low,CONSPIRACY
2188,"“ Finding an HIV vaccine has proven to be a daunting scientific challenge , ” said Anthony Fauci , MD , director of the National Institute of Allergy and Infectious Diseases , in a press release . “ With the success of safe and highly effective COVID - 19 vaccines , we have an exciting opportunity to learn whether mRNA technology can achieve similar results against HIV infection . ” Psychopaths live in their own world . https :// www . nih . gov / news - events / news - releases / nih - launches - clinical - trial - three - mrna - hiv - vaccines ",CONSPIRACY,average,neutral,CRITICAL
1523,". The Real Pandemic : Obesity Demosthenes : “ You listen only to those who study to win your favor rather than to give you the best advice ” . In Europe , roughly 53 % of people are either too fat or obese . Why does this matter ? Fat people tend to have chronical inflammation in their body . This strains their immune system . Combine this with a virus and its too much for the body . Many of the ‘ victims ’ of Covid , are actually the victim of their own unhealthy lifestyle . . Yet , the politicians & virus experts want healthy people to change their behavior for the “ greater good ” . Why ? This is simple . The fat voter ’s favor must be won . The fat people do not like to be critiqued on their pattern of self harm . Our leaders let them get away with it . They even promote “ body positivity ” The pampering of the unhealthy is the new worldwide standard . Link . https :// www . defendevropa . com / 2020 / news / chinese - virus - what - about - the - western - virus / ",CRITICAL,long,low,CONSPIRACY
389,GOVERNMENT IS LYING AGAIN - WE HAVE THE INGREDIENTS THAT CAUSE THE MAGNETISM AT THE INJECTION SITES DUE TO THE NANO META MATERIAL ANTENNAS https :// www . gov . uk / government / publications / freedom - of - information - responses - from - the - mhra - week - commencing - 21 - june - 2021 / freedom - of - information - request - on - reports - of - magnetism - at - covid - 19 - vaccine - injection - sites - foi - 21 - 545 ,CONSPIRACY,average,high,CRITICAL
2734,"HUGE win for FREEDOM in India ! ! !   Their Supreme Court just ruled that it is against their constitution to force individuals to get vaccinated , and also that it is unlawful to persecute against those who are unvaxxed ! India is a BIG target in the eyes of the globalists , so this is a MASSIVE victory ! WWG1WGA Worldwide ! ! !   https :// www . indiatvnews . com / news / india / covid19 - vaccination - not - mandatory - supreme - court - order - unvaccinated - individuals - restrictions - 2022 - 05 - 02 - 773615 ",CONSPIRACY,average,neutral,CRITICAL
3620,"What Else Could They Have Lied to You About ? Tune into my conversation on Radical , with Maajid Nawaz ... ➨ drtesslawrie . substack . com / p / on - what - else - could - they - have - lied I ’m delighted to share this wonderful conversation I had recently with Maajid Nawaz . Maajid is , amongst many things , a podcaster , an author with his own Substack here , and he was also a host at this year ’s Better Way Conference . I really enjoyed speaking with him — he asks good questions — and we covered not just health but also the nefarious aims of the World Economic Forum and Big Pharma , the need for us to take control of our own health and also how to positively and practically prepare for challenging times ahead . Watch it here , and I hope you enjoy it . Have a wonderful Sunday , Tess   Follow Me : ➨ @ audreywest ",CRITICAL,long,low,CONSPIRACY
1564,"Plandemic | "" Trust The Science "" Psaki on Florida 's Surgeon General recommendation against giving children under 5 the jab : "" Absolutely not ... we know the science , we know the data and what works , and what the most effective steps are of protecting people of a range of ages from hospitalization and even ... death ; It 's deeply disturbing that there are politicians peddling conspiracy theories out there and casting doubt on vaccinations . "" ",CONSPIRACY,average,low,CRITICAL
753,"Far - left mathematicians go FULL NAZI , demand their non - woke colleagues be monitored and put on “ enemies lists ” https :// www . naturalnews . com / 2022 - 03 - 18 - math - nazis - demand - nonwoke - colleagues - enemies - lists . html ",CRITICAL,average,low,CONSPIRACY
3371,"I ’ve received feedback from astute lawyers who note that public accommodation businesses in California , where Airbnb is based , are subject to the Unruh Civil Rights Act – which forbids the very kind of anti - free - speech , anti - free - association , and anti - equal housing discrimination Airbnb has visited upon me and my family . Much more is at stake , of course , and there are other sound legal grounds for seeking relief . As AmRen founder Jared Taylor told me this week : “ Once again , in what used to be known as the ‘ land of the free and the home of the brave , ’ Big Tech is punishing people for what they say . After it gets finished with vaccine freethinkers , election skeptics , and people who think all lives matter , who ’s going to be left ? Democrat toadies ? ” America First Foundation president and American First Political Action Conference founder Nick Fuentes , targeted by the feds , investigated by Dems , and deplatformed by a multitude of woke businesses for his peaceful political advocacy , added : “ Every day the list of digital services engaged in discrimination against Patriotic Americans grows longer . Deplatforming on Airbnb marks a chilling escalation in tactics used by Big Tech to silence American conservatives . ” Cancel culture has reached a new escalation and I do n’t plan on rolling over . Never have . Never will . I ’ve raised hundreds of thousands of dollars for other patriots and heroes over the past thirty years . Now , I ’m asking readers and viewers for help to fight my own battle – which , of course , is yours as well . Visit fundly . com / michellefightsairbnb to join the cause . It ’s a time for choosing : Defiance over compliance . https :// vdare . com / articles / michelle - malkin - why - airbnb - banned - me - and - my - hubby - too ",CRITICAL,long,low,CONSPIRACY
1529,"Auto - translated statement on the result of the # Italian elections from # ForzaNuova : The end of the center - left as a perennial force of power emerges from the vote : the PD wins about only 1 % of the country . Antifascism turns out to be a blunt and even losing weapon : the Italians vote FDI , that is the experience they perceive as closer to Fascism , the sympathy for which , we recall , is still illegal in Italy . The 5 Stars are awarded in Campania and in the South for positions on citizenship income , Superbonus and blocking of arms delivery to Ukraine . The 4 anti - system parties would have reached 4 % if they had been united but , for protagonism and political myopia , they remain outside Parliament . The government , apparently renewed , will inevitably clash with the Ukrainian question , with the EU noose and with the economic situation which , after a season of great revenues thanks to tourism , is preparing to derail in the coming weeks . We then expect within a few hours , news from the earthquake in Sicily where Cateno De Luca , already an ally of Forza Nuova in the penultimate elections , will have an amazing result . For those who really want to push this regime , a moral and political obligation will be : - merge anti - system lists ; - oppose the US - deep state dependence of the future government ; - mobilize the squares for Peace by building real opposition and against power with precision and speed . ",CRITICAL,long,low,CONSPIRACY
1612,"Hayward on Biden 's ' Build Back Better ' Agenda : Massive Climate Spending , New Global Health Bureaucracy , No Action on China ",CRITICAL,short,high,CONSPIRACY
3490,Why does a world map of the Pfizer Vaccine distribution match a world map of the current Monkeypox outbreak ? https :// expose - news . com / 2022 / 06 / 05 / monkeypox - hepatitis - covid - 19 - public - health - has - been - hijacked / Join us at : t . me / AgentsOfTruth t . me / AgentsOfTruthChat ,CRITICAL,average,low,CONSPIRACY
1658,"Three of the four gene - based COVID - 19 “ vaccines ” ( AstraZeneca , Pfizer , and Moderna ) are contaminated with an abundance of metallic particles . The contaminations alone are reason enough to halt the manufacture of these “ vaccines . ” https :// doctors4covidethics . org / investigation - of - metallic - contaminations - found - in - vector - and - mrna - based - covid - 19 - vaccines - preliminary - results / ",CONSPIRACY,average,low,CRITICAL
1300,"Joe Biden failed to provide a logical answer when confronted Tuesday by Fox News reporter Peter Doocy , who asked “ what is the thinking behind letting untested and unvaccinated migrants ” into the U.S. https :// summit . news / 2021 / 08 / 04 / video - biden - confronted - on - allowing - untested - and - unvaccinated - illegals - into - u - s / ",CONSPIRACY,average,low,CRITICAL
3074,"https :// www . news . com . au / technology / science / human - body / dr - kerryn - phelps - reveals - devastating - covid - vaccine - injury - says - doctors - have - been - censored / news - story / 0c1fa02818c99a5ff65f5bf852a382cf BOO FUCKING WHO . SO YOU REALISE YOUR MURDERING PEOPLE . YOU GET THREATENED WITH YOUR JOB , SO YOU SHUT UP AND CARRY ON INJECTING THIS POISON INTO PEOPLE . THESE POOR £ 100 GRAND A YEAR ( PLUS COMMISSION ON ALL THE OTHER POISONOUS PRODUCTS THEY PUSH ) DOCTOR STORIES DO NOT WASH HERE AT TRUTHPILLS . COWARDS AT THE VERY LEAST .   t . me / truthpills ",CONSPIRACY,long,high,CRITICAL
59,News that billionaire Google co - founder Larry Page has been hiding out on and buying isolated private islands in Fiji to avoid tourists who are n’t allowed in once again underscores how the elite is using the fallout from the pandemic to segregate themselves from the general public . https :// summit . news / 2021 / 07 / 23 / billionaires - segregate - themselves - on - luxury - private - islands - as - ordinary - people - told - they - cant - travel / ,CRITICAL,average,low,CONSPIRACY
3179,"WEF | Global Shapers Community Klaus Schwab 's message to his minions in the ' Global Shapers Community ' [ that he created ] on Jabs , ' Climate Change ' , Becoming Policy Makers , ' Misinformation ' and Smart Cities : "" This engagement of the young generation never has been more important than now , where we have to face the consequences of the pandemic of COVID - 19 for creating a more resilient , a more sustainable and a more inclusive world ; Nobody will be safe if not everybody is vaccinated . ” ",CRITICAL,average,neutral,CONSPIRACY
2201,Judge rules Trump must testify in New York AG James probe | Lee Zeldin | ' Greg Kelly Reports ' https :// youtu . be / Y _ qk3bnW5GY ,CONSPIRACY,short,high,CRITICAL
1247,ALL THE PEOPLE THAT JUST HAD MILD SYMPTOMS WILL DIE SOON UNLESS THEY GET THE PROTOCOL - SEND THIS TOO ALL OF THE COVID 19 VACCINE VICTIMS YOU KNOW - WE HAVE A DUTY TO TRY AND SAVE THEM - INFO @ SAVEUSNOW . ORG . UK ,CRITICAL,average,high,CONSPIRACY
1798,BREAKING NEWS : DARPA Unclassified documents confirm SARS - CoV - 2 was created by EcoHealth Alliance at the Wuhan Institute of Virology coordinated by Peter Daszak . It was designed to be deliberately virulent and humanized resulting in 6.5 million deaths . Anthony Fauci was involved . Follow : @ Covid19vaccinevictims ,CONSPIRACY,average,high,CRITICAL
2358,THE JABBED ARE GETTING SICK - THEY ARE ADMITTING THEY ARE GOING TO GET HIV - WARN THEM ABOUT THE LETHAL HIV INJECTION - TEST THE NEODYMIUM ON THE INJECTION SITE AND MAKE THAT CRIMINAL COMPLAINT https :// www . saveusnow . org . uk / vaccinated - victim - criminal - complaint / ,CRITICAL,average,high,CONSPIRACY
3141,""" Leaked State Dept Memo Reveals US Gov’t Used Taxpayer Money to Create Online Game to “ Inoculate Youth Against Disinformation ” - TGP On October 31 , 2022 , the Global Engagement Center ( GEC ) of the State Department issued a memo with the subject line "" "" Cat Park : Another Web based Game to Vaccinate Youth Against Disinformation , "" "" which portrays an arrangement to send off another duty supported internet game . SOURCE @ TheGreatResetTimes Follow us : Telegram | Chat Group | Twitter "" ",CRITICAL,average,high,CONSPIRACY
3284,"BQQQQQQQMFauCGI opens up the possibility that the COVID - 19 vaccine could be making people more likely to be infected by the virus . “ This would not be the first time , if it happened , that a vaccine that looked good in initial safety actually made people worse . "" - THOUGHTS ?   SHARE ! ! https :// t . me / QNewsOfficialTV ",CRITICAL,average,high,CONSPIRACY
3214,"The Ministry of Health is running a 6 week tour and are looking for two children 's entertainers to make little kids laugh hysterically - while simultaneously brainwashing them about toxic vaccines ! Absolutely disgusting . For two 30 minute "" hypnosis sessions "" the ideal candidate will be paid $ 500 a day to convince young children that toxic vaccines are awesome and will protect them against the mentally - assembled Coronavirus that only exists as letters on a screen . Accommodation and travel expenses will also be provided ! Just imagine how much money the government is pumping into their COVID - 19 propaganda campaign ..... https :// t . me / DebunkingthePlandemic ",CONSPIRACY,long,low,CRITICAL
2044,"Trudeau : "" You 're gon na be able to get your vaccine as soon as you turn five ... I know you 're excited , I know you 're eager . "" Look how much this vermin is enjoying this ! ",CRITICAL,short,low,CONSPIRACY
771,The COVID19 Vaccine IS THE VARIANT ! ! ! — — 430 + videos on Odysee Video LINK — >Odysee — Website — Consider Subscribing? — Help Keep — > WTPNews < — Funded ? ,CRITICAL,short,high,CONSPIRACY
1475,"Magnetic Graphite Found in Vaccine - PROOF Graphite , archaically referred to as plumbago , is a crystalline form of the element carbon with its atoms arranged in a hexagonal structure . It occurs naturally in this form and is the most stable form of carbon under standard conditions . Under high pressures and temperatures it converts to diamond . Graphite is used in pencils and lubricants . It is a good conductor of heat and electricity . Its high conductivity makes it useful in electronic products such as electrodes , batteries , and solar panels I already joined and I highly recommend you to do the same    https :// t . me / QAnonQ17 ",CRITICAL,long,low,CONSPIRACY
2732,"Simply testing positive for a virus does not mean that you are guaranteed to transmit it or that you will become sick by it . A positive test , or two , or three does not automatically necessitate an experimental gene therapy that wo n't even be labeled a full vaccine until 2022 . But that will not matter to the rulers . ",CRITICAL,average,low,CONSPIRACY
2410,Italy deploys new social credit system to control human behavior in the name of “ climate change ” https :// www . naturalnews . com / 2022 - 04 - 28 - italy - social - credit - modify - behavior - climate - change . html ,CRITICAL,average,low,CONSPIRACY
1180,"Is the Covid "" vaccine "" safe ? We will let the call operators from the Ministry of Health and the Unite Against Covid - 19 vaccine helpline answer that question for us ! ",CRITICAL,short,neutral,CONSPIRACY
3311,The Biden administration is trying to create one giant global health database … and they admit there will be another “ pandemic ” that they are already working on vaccines for . Guess it ’s not a “ right wing conspiracy ” after all ! https :// www . politico . com / news / 2022 / 03 / 17 / u - s - global - health - tech - sharing - next - pandemic - 00017977 ,CRITICAL,average,low,CONSPIRACY
1328,Vaccine Passports : How people think they will work vs how they will actually work 10/10 short vid to download and share with normies ( not my OC btw - https :// www . instagram . com / p / CNz8h53ndf4 / ) ,CRITICAL,average,low,CONSPIRACY
175,"Not even one but THREE DOSES ... of poisons for the little bodies of healthy born children ... JUST IN - Pfizer - BioNTech 3 - dose mRNA injection for children under 5 "" safe and effective "" , FDA staff claimed Sunday based on "" preliminary data "" ahead of Wednesday 's meeting . https :// www . washingtonpost . com / health / 2022 / 06 / 12 / pfizer - vaccine - young - children - fda - analysis / Join us at : t . me / AgentsOfTruth t . me / AgentsOfTruthChat ",CONSPIRACY,average,neutral,CRITICAL
2117,Questions are popping up about the similarity between a March 2021 tabletop “ simulation ” of a monkeypox outbreak + a similar simulation in 2019 — Event 201 — which correctly “ predicted ” the COVID - 19 pandemic . Hear what @ tommylopez has to say on # CHDTV   https :// bit . ly / 3PVHhng ,CRITICAL,average,neutral,CONSPIRACY
1721,"RFK Jr : All quacckines that are officially recommended for children get liability protection , EVEN if an adult gets that vaccine . That ’s why they ’re going after kids . ",CONSPIRACY,short,neutral,CRITICAL
1533,"Hearing the Australian military is now going to go door - to - door to "" encourage "" all Australians to get vaccinated . UN strategy is being devised to combat "" anti - vaccine aggression "" in the same manner that terrorism , cyber attacks , and nuclear armament has been dealt with in the past . "" Advancing immunization requires a counteroffensive "" . ",CONSPIRACY,average,low,CRITICAL
523,"A while ago , Radio NZ put out a propaganda piece about so - called "" long Covid "" . John , who is a professor at Massey University said , "" The flu people generally get , it 's vile , it 's lousy , it kills people ... but generally people recover fully after flu . "" John seems to be unaware that people generally recover fully after being diagnosed with so - called "" COVID - 19 "" as well . According to John , "" long Covid "" was first described on social media and then the Washington Post reported on it . Just remember guys , social media is not a reliable source of information unless it agrees with the mainstream narrative , then it is OK to use anecdotal reports from social media users . Moreover , correlation does not imply causation , except when it agrees with the mainstream narrative . John goes on to list off many vague symptoms that are not unique to so - called "" COVID - 19 "" . This is what the New Zealand Ministry of Health have mentioned in regard to "" long Covid "" . Quote : "" As yet , there is no official definition of long COVID or diagnostic criteria for the condition "" . Hilarious ..... The New Zealand media regularly pump out fearmongering stories about "" long Covid "" yet the Ministry of Health do not know how to accurately define it or diagnose it ! Quote : "" What is long COVID ? The term ‘ long COVID ’ is commonly used to describe signs and symptoms that continue or develop after acute COVID - 19 ( 4 weeks from the initial infection ) . People experiencing these are sometimes referred to as ‘ long - haulers ’ "" . What signs and "" symptoms "" ? The MOH article then lists the following symptoms ; Fatigue Shortness of breath Cough Low mood Headaches Difficulty concentrating , cognitive impairment or ‘ brain fog ’ Chest pain ( clinical assessment may be required to investigate the specific cause ) Joint pain Muscle aches and pains Muscle weakness ( this can be a reported symptom , and may also be clinically measured ) Ongoing changes to smell or taste Fast - beating or a ‘ pounding ’ heart Sleep disturbances "" . Which of these vague symptoms is unique ? ! Even many of the papers that discuss "" long Covid "" mention that these symptoms are not unique to the Covid boogeyman or his infamous partner in crime "" the Delta - demon mutant "" . A 6 - month retrospective cohort study , published by PLOS medicine states ; Quote : "" Long - COVID clinical features occurred and co - occurred frequently and showed some specificity to COVID - 19 , though they were also observed after influenza "" . "" Showed some specificity to COVID - 19 "" . Huh ? What a joke . https :// t . me / DebunkingthePlandemic ",CONSPIRACY,long,low,CRITICAL
3722,"President Trump did a great job expediting Operation Warp Speed , but he was ill advised by Fauci and corrupt “ experts ” . Now , many people feel abandoned by the relentless push for vaccines without long term safety studies — what ’s going on ? https :// americasfrontlinedoctors . org / videos / brad - barton - interview / ",CRITICAL,average,low,CONSPIRACY
3638,"A private owned vaccine sales company that owns patents on more than 40 vaccines is allowed to spy on citizens by given access to their whereabouts at all times , whenever they ask for it and the governments allow this . How is this ok ? ? ? Join us at : t . me / AgentsOfTruth t . me / AgentsOfTruthChat ",CRITICAL,average,low,CONSPIRACY
